Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
159876,ARABIC AB,Elementary Arabic,00X,Near Eastern Languages & Civ,"Alkyam,Sami Mahmoud",1,0,0,0,0,0,0,1
159876,ARABIC AB,Elementary Arabic,00Y,Near Eastern Languages & Civ,"Alkyam,Sami Mahmoud",1,0,0,0,0,0,0,1
127804,ARABIC BB,Intermediate Arabic II,1,Near Eastern Languages & Civ,"Barmada,Nour",7,2,0,1,0,0,0,10
127804,ARABIC BB,Intermediate Arabic II,2,Near Eastern Languages & Civ,"Barmada,Nour",5,2,0,1,0,0,0,8
127804,ARABIC BB,Intermediate Arabic II,3,Near Eastern Languages & Civ,"Barmada,Nour",5,2,0,0,0,0,0,7
125908,ARAMAIC A,Intro to Ancient Aramaic,1,Near Eastern Languages & Civ,"Cohen,Shaye J.D.",1,3,0,0,0,0,0,4
125880,ASTRON 100,Methods of Observational Astro,1,Astronomy,"Finkbeiner,Douglas",5,0,0,0,0,0,0,5
118136,ASTRON 16,Stellar and Planetary Astronom,1,Astronomy,"Conroy,Charles",37,0,0,0,1,0,0,38
113262,ASTRON 191,Astrophysics Laboratory,1,Astronomy,"Kovac,John M",10,1,0,0,2,0,0,13
114603,ASTRON 193,Noise/Data Analysis/Astrophysi,1,Astronomy,"Siemiginowska,Aneta L.",1,12,0,0,0,0,0,13
118138,ASTRON 203,Intersteller Medium & Star Frm,1,Astronomy,"Oberg,Karin",0,10,0,0,0,0,0,10
109577,ASTRON 231,Practical Optics for Astronome,1,Astronomy,"Szentgyorgyi,Andrew H.",0,5,0,0,0,0,0,5
122728,ASTRON 300,Topics in Modern Astrophysics,1,Astronomy,"Murphy,Nicholas A",0,1,0,0,0,0,0,1
122728,ASTRON 300,Topics in Modern Astrophysics,2,Astronomy,"Goodman,Alyssa A.",0,1,0,0,0,0,0,1
